USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         342  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-ext4-rsv-conversion]
root         404  0.2  0.3  91736 29236 ?        S<s  14:46   0:09 /usr/lib/systemd/systemd-journald
root         433  0.2  0.0      0     0 ?        I    14:46   0:09 [kworker/1:2-events]
root         461  0.0  0.1  30444  7828 ?        Ss   14:46   0:02 /usr/lib/systemd/systemd-udevd
root         467  0.0  0.0      0     0 ?        S    14:46   0:00 [psimon]
root         555  0.0  0.0      0     0 ?        I    14:46   0:00 [kworker/6:2-cgroup_free]
root         634  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-cfg80211]
root         807  1.0  0.0      0     0 ?        S    14:46   0:41 [irq/72-rtw88_pci]
systemd+     821  0.0  0.1  21828 13064 ?        Ss   14:46   0:01 /usr/lib/systemd/systemd-resolved
systemd+     822  0.0  0.1  91228  8096 ?        Ssl  14:46   0:00 /usr/lib/systemd/systemd-timesyncd
root         828  0.0  0.1 316620  8996 ?        Ssl  14:46   0:00 /usr/libexec/accounts-daemon
avahi        832  0.0  0.0   8944  4820 ?        Ss   14:46   0:01 avahi-daemon: running [qsy-OptiPlex-3070.local]
root         834  0.0  0.0  13816  6588 ?        Ss   14:46   0:00 /usr/libexec/bluetooth/bluetoothd
root         835  0.0  0.0  11960  2988 ?        Ss   14:46   0:00 /usr/sbin/cron -f -P
message+     836  0.1  0.0  12144  7280 ?        Ss   14:46   0:04 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         842  0.0  0.0  83024  4544 ?        Ssl  14:46   0:00 /usr/sbin/irqbalance
polkitd      862  0.0  0.1 393984 12996 ?        Ssl  14:46   0:01 /usr/lib/polkit-1/polkitd --no-debug
root         863  0.0  0.1 316028  7644 ?        Ssl  14:46   0:00 /usr/libexec/power-profiles-daemon
root         866  0.0  0.0 312328  6768 ?        Ssl  14:46   0:00 /usr/libexec/switcheroo-control
root         867  0.0  0.1  18144  9204 ?        Ss   14:46   0:00 /usr/lib/systemd/systemd-logind
root         869  0.1  0.1 406028 14452 ?        Ssl  14:46   0:06 /usr/bin/touchegg --daemon
root         871  0.0  0.2 469692 15472 ?        Ssl  14:46   0:00 /usr/libexec/udisks2/udisksd
avahi        880  0.0  0.0   8432  1520 ?        S    14:46   0:00 avahi-daemon: chroot helper
syslog       939  0.0  0.0 222516  6692 ?        Ssl  14:46   0:01 /usr/sbin/rsyslogd -n -iNONE
root         985  0.1  0.1  18296 11860 ?        Ss   14:46   0:04 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1016  0.0  0.1 392104 12376 ?        Ssl  14:46   0:00 /usr/sbin/ModemManager
root        1460  0.0  0.1  40932 12128 ?        Ss   14:46   0:00 /usr/sbin/cupsd -l
redis       1468  0.2  0.1  70448 12400 ?        Ssl  14:46   0:08 /usr/bin/redis-server 127.0.0.1:6379
root        1582  0.0  0.0 1224008 4148 ?        Sl   14:46   0:00 /opt/TheftDeterrentclient/guardian/Theft_Deterrent_guardian
root        1594  0.0  0.0  11240  2036 tty1     Ss+  14:46   0:00 /sbin/agetty -o -p -- \u --noclear - linux
lp          1604  0.0  0.0  16844  6900 ?        S    14:46   0:00 /usr/lib/cups/notifier/dbus dbus://
postgres    1630  0.0  0.2 236348 21576 ?        Ss   14:46   0:00 /usr/lib/postgresql/18/bin/postgres -D /var/lib/postgresql/18/main -c config_file=/etc/postgresql/18/main/postgresql.conf
mysql       1636  0.9  0.3 2376340 27776 ?       Ssl  14:46   0:35 /usr/sbin/mysqld
postgres    1637  0.0  0.0 236480  4972 ?        Ss   14:46   0:00 postgres: 18/main: io worker 0
postgres    1638  0.0  0.0 236480  4540 ?        Ss   14:46   0:00 postgres: 18/main: io worker 1
postgres    1639  0.0  0.0 236348  3852 ?        Ss   14:46   0:00 postgres: 18/main: io worker 2
postgres    1640  0.0  0.0 236480  5636 ?        Ss   14:46   0:00 postgres: 18/main: checkpointer 
postgres    1641  0.0  0.0 236480  4300 ?        Ss   14:46   0:00 postgres: 18/main: background writer 
root        1654  0.3  0.0      0     0 ?        D    14:46   0:14 [kworker/u48:11+events_unbound]
root        1661  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-amdgpu-reset-dev]
root        1662  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-iprt-VBoxWQueue]
root        1664  0.0  0.0      0     0 ?        S    14:46   0:00 [iprt-VBoxTscThread]
root        1673  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-ttm]
root        1691  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        1692  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        1693  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        1694  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-dm_vblank_control_workqueue]
root        1695  0.0  0.0      0     0 ?        S    14:46   0:00 [card1-crtc0]
root        1696  0.0  0.0      0     0 ?        S    14:46   0:00 [card1-crtc1]
root        1697  0.0  0.0      0     0 ?        S    14:46   0:00 [card1-crtc2]
root        1698  0.0  0.0      0     0 ?        S    14:46   0:00 [card1-crtc3]
root        1701  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-gfx]
root        1702  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.0.0]
root        1703  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.1.0]
root        1704  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.2.0]
root        1705  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.3.0]
root        1706  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.0.1]
root        1707  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.1.1]
root        1708  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.2.1]
root        1709  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-comp_1.3.1]
root        1710  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-sdma0]
root        1711  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-vcn_dec]
root        1712  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-vcn_enc0]
root        1713  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-vcn_enc1]
root        1714  0.0  0.0      0     0 ?        I<   14:46   0:00 [kworker/R-jpeg_dec]
postgres    1831  0.0  0.0 236480  4872 ?        Ss   14:46   0:00 postgres: 18/main: walwriter 
postgres    1832  0.0  0.0 237944  7276 ?        Ss   14:46   0:00 postgres: 18/main: autovacuum launcher 
postgres    1833  0.0  0.0 237808  5976 ?        Ss   14:46   0:00 postgres: 18/main: logical replication launcher 
root        1900  0.0  0.0 380084  6816 ?        SLsl 14:46   0:00 /usr/sbin/lightdm
root        1908  5.2  0.7 1443328 59096 tty7    Ssl+ 14:46   3:23 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
rtkit       1971  0.0  0.0  22948  3548 ?        SNsl 14:46   0:00 /usr/libexec/rtkit-daemon
cups-br+    2031  0.0  0.2 268500 18448 ?        Ssl  14:46   0:00 /usr/sbin/cups-browsed
root        2033  0.4  0.7 3016616 53728 ?       Ssl  14:46   0:16 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2073  0.0  0.0  12752  2260 ?        Ss   14:46   0:00 /usr/sbin/kerneloops --test
kernoops    2090  0.0  0.0  12752  2444 ?        Ss   14:46   0:00 /usr/sbin/kerneloops
root        2178  0.0  0.0      0     0 ?        S<   14:46   0:00 [krfcommd]
root        2216  0.0  0.2  83432 16240 ?        Ss   14:46   0:00 /usr/sbin/nmbd --foreground --no-process-group
root        2241  0.0  0.1 319684  9732 ?        Ssl  14:46   0:02 /usr/libexec/upowerd
root        2248  0.0  0.3  95448 22976 ?        Ss   14:46   0:00 /usr/sbin/smbd --foreground --no-process-group
root        2273  0.0  0.0  92956  5904 ?        S    14:46   0:00 smbd: notifyd .
root        2274  0.0  0.0  92964  5884 ?        S    14:46   0:00 smbd: cleanupd 
root        2275  0.4  0.0      0     0 ?        I    14:46   0:18 [kworker/u48:12-sdma0]
root        2276  0.2  0.0      0     0 ?        I    14:46   0:11 [kworker/u48:13-gfx]
root        2291  0.0  0.1 236460  8420 ?        Sl   14:46   0:00 lightdm --session-child 13 20
qsy         2426  0.0  0.1  20868 12044 ?        Ss   14:46   0:00 /usr/lib/systemd/systemd --user
qsy         2435  0.0  0.0  23008  2952 ?        S    14:46   0:00 (sd-pam)
qsy         2570  0.0  0.2 123612 16396 ?        Ssl  14:46   0:00 /usr/bin/pipewire
qsy         2571  0.0  0.0 100272  5300 ?        Ssl  14:46   0:00 /usr/bin/pipewire -c filter-chain.conf
qsy         2573  0.9  0.3 570792 23972 ?        SLsl 14:46   0:35 /usr/bin/wireplumber
qsy         2574  0.8  0.3 128684 25912 ?        SLsl 14:46   0:32 /usr/bin/pipewire-pulse
qsy         2579  0.0  0.0  10480  6208 ?        Ss   14:46   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        2698  0.0  0.1 1233592 11584 ?       Sl   14:46   0:02 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5f1f474614ed55f2118e3754067c9fbbeb2039fc8732e1d53657286a5db42f53 -address /run/containerd/containerd.sock
root        2703  0.0  0.1 1233592 10352 ?       Sl   14:46   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 2210aabddaa97a68cc8757fdcd14e93ed83c7eb65c9e28bb1405d61dab1b7e14 -address /run/containerd/containerd.sock
root        2709  0.0  0.1 1233592 10544 ?       Sl   14:46   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 662a4669e52fa0b5ec0abcacff24be91f62a0603668f8279a18025cf3f506198 -address /run/containerd/containerd.sock
root        2769  0.0  0.1 1233592 11808 ?       Sl   14:46   0:02 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5e15994a89d7b9939502a9f9a9090f20747bd224a40d3da2fbedcd808b50c383 -address /run/containerd/containerd.sock
root        2850  0.0  0.0  14796  5992 ?        Ss   14:46   0:00 nginx: master process nginx -g daemon off;
dnsmasq     2852  0.7  0.1  39380  8768 ?        Ssl  14:46   0:27 redis-server *:6379
root        2860  0.0  0.0  10272  5180 ?        Ss   14:46   0:00 nginx: master process nginx -g daemon off;
70          2886  0.0  0.1 173856 11740 ?        Ss   14:46   0:00 postgres
root        3050  0.0  0.0 1599528 3744 ?        Sl   14:46   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5432 -container-ip 172.19.0.3 -container-port 5432 -use-listen-fd
root        3056  0.0  0.0 1673004 3744 ?        Sl   14:46   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5432 -container-ip 172.19.0.3 -container-port 5432 -use-listen-fd
message+    3122  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3123  0.0  0.0  10736  2876 ?        S    14:46   0:00 nginx: worker process
message+    3124  0.0  0.0  10736  2884 ?        S    14:46   0:00 nginx: worker process
message+    3125  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3126  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3127  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3128  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3129  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3130  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3131  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3132  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
